;Design 1;Design 2;Design 3;Design 4;Design 5;Design 6;;;
CLmax1;2;2;2;2;2;2;;M;0.82
CLmax2;2.58;2.85;2.58;2.58;2.58;2.18;;gamma;1
CLmax3;3;3;3;3;3;3;;R;287.05
CLclean1;1;1;1;1;1;1;;T;216.65
CLclean2;1.2;1.2;1.2;1.2;1.2;1.2;;a;295
CLclean3;1.4;1.4;1.4;1.4;1.4;1.4;;Vmax;242
CLto1;2;2;2;2;2;2;;;
CLto2;2.5;2.78;2.5;0.01;2.5;0.01;;;
CLto3;3;3;3;3;3;3;;;
Vmax;241.955;241.955;241.955;241.955;241.955;241.955;;;
Vs;100;100;100;100;100;100;;;
A1;10.5;10.5;14;14;14;14;;;
A2;10.5;10.5;13.5;13.5;13.5;13.5;;;
A3;11.5;11.5;15.5;15.5;15.5;15.5;;;
TOP;8138;8138;8138;8138;8138;8138;;;
MTOW;70606;71138;69177;68947;68402;69177;;;
Eff;0;0;0;0;0.8;0;;;
Material;1;1;1;1;1;1;;;
C_D_0;0.0165;0.01815;0.0165;0.015675;0.0165;0.0165;;;